314	N??????v|~N{~w~w^{?	51	21	102	12295,20487,24583,4619,8715,16907,4627,8723,16915,4643,8739,16931,4675,8771,16963,4739,8835,17027,4867,8963,17155,5133,9229,17421,5141,9237,17429,5157,9253,17445,5189,9285,17477,5253,9349,17541,5381,9477,17669,1561,1577,1609,1673,1801,1585,1617,1681,1809,1633,1697,1825,1729,1857,1921,6158,10254,18446,6166,10262,18454,6182,10278,18470,6214,10310,18502,6278,10374,18566,6406,10502,18694,2586,2602,2634,2698,2826,2610,2642,2706,2834,2658,2722,2850,2754,2882,2946,3100,3116,3148,3212,3340,3124,3156,3220,3348,3172,3236,3364,3268,3396,3460
316	N??????w?^b}lw^w^{?	40	12	2	4615,16903
317	N??????w?n`}nw^w^{?	40	12	1	16903
318	N??????w?~b}F{~w^{?	42	12	2	8711,16903
319	N??????w?~b}~w~w^{?	44	14	3	4615,8711,16903
326	N??????z}~V{^w~w^{?	50	20	38	8711,16903,9227,17419,1555,1571,1603,1667,1795,10253,18445,2581,2597,2629,2693,2821,3097,3113,3145,3209,3337,12302,20494,4630,4646,4678,4742,4870,5146,5162,5194,5258,5386,6172,6188,6220,6284,6412
332	N??????}Y~F{|wzw^{?	46	17	12	4615,8711,4619,8723,4621,8725,1562,2588,3128,3160,3176,3184
333	N??????~~~^{~w~w^{?	54	24	1260	1543,2567,4615,8711,16903,3079,5127,9223,17415,6151,10247,18439,12295,20487,24583,1547,2571,4619,8715,16907,3083,5131,9227,17419,6155,10251,18443,12299,20491,24587,1555,2579,4627,8723,16915,3091,5139,9235,17427,6163,10259,18451,12307,20499,24595,1571,2595,4643,8739,16931,3107,5155,9251,17443,6179,10275,18467,12323,20515,24611,1603,2627,4675,8771,16963,3139,5187,9283,17475,6211,10307,18499,12355,20547,24643,1667,2691,4739,8835,17027,3203,5251,9347,17539,6275,10371,18563,12419,20611,24707,1795,2819,4867,8963,17155,3331,5379,9475,17667,6403,10499,18691,12547,20739,24835,1549,2573,4621,8717,16909,3085,5133,9229,17421,6157,10253,18445,12301,20493,24589,1557,2581,4629,8725,16917,3093,5141,9237,17429,6165,10261,18453,12309,20501,24597,1573,2597,4645,8741,16933,3109,5157,9253,17445,6181,10277,18469,12325,20517,24613,1605,2629,4677,8773,16965,3141,5189,9285,17477,6213,10309,18501,12357,20549,24645,1669,2693,4741,8837,17029,3205,5253,9349,17541,6277,10373,18565,12421,20613,24709,1797,2821,4869,8965,17157,3333,5381,9477,17669,6405,10501,18693,12549,20741,24837,1561,2585,4633,8729,16921,3097,5145,9241,17433,6169,10265,18457,12313,20505,24601,1577,2601,4649,8745,16937,3113,5161,9257,17449,6185,10281,18473,12329,20521,24617,1609,2633,4681,8777,16969,3145,5193,9289,17481,6217,10313,18505,12361,20553,24649,1673,2697,4745,8841,17033,3209,5257,9353,17545,6281,10377,18569,12425,20617,24713,1801,2825,4873,8969,17161,3337,5385,9481,17673,6409,10505,18697,12553,20745,24841,1585,2609,4657,8753,16945,3121,5169,9265,17457,6193,10289,18481,12337,20529,24625,1617,2641,4689,8785,16977,3153,5201,9297,17489,6225,10321,18513,12369,20561,24657,1681,2705,4753,8849,17041,3217,5265,9361,17553,6289,10385,18577,12433,20625,24721,1809,2833,4881,8977,17169,3345,5393,9489,17681,6417,10513,18705,12561,20753,24849,1633,2657,4705,8801,16993,3169,5217,9313,17505,6241,10337,18529,12385,20577,24673,1697,2721,4769,8865,17057,3233,5281,9377,17569,6305,10401,18593,12449,20641,24737,1825,2849,4897,8993,17185,3361,5409,9505,17697,6433,10529,18721,12577,20769,24865,1729,2753,4801,8897,17089,3265,5313,9409,17601,6337,10433,18625,12481,20673,24769,1857,2881,4929,9025,17217,3393,5441,9537,17729,6465,10561,18753,12609,20801,24897,1921,2945,4993,9089,17281,3457,5505,9601,17793,6529,10625,18817,12673,20865,24961,1550,2574,4622,8718,16910,3086,5134,9230,17422,6158,10254,18446,12302,20494,24590,1558,2582,4630,8726,16918,3094,5142,9238,17430,6166,10262,18454,12310,20502,24598,1574,2598,4646,8742,16934,3110,5158,9254,17446,6182,10278,18470,12326,20518,24614,1606,2630,4678,8774,16966,3142,5190,9286,17478,6214,10310,18502,12358,20550,24646,1670,2694,4742,8838,17030,3206,5254,9350,17542,6278,10374,18566,12422,20614,24710,1798,2822,4870,8966,17158,3334,5382,9478,17670,6406,10502,18694,12550,20742,24838,1562,2586,4634,8730,16922,3098,5146,9242,17434,6170,10266,18458,12314,20506,24602,1578,2602,4650,8746,16938,3114,5162,9258,17450,6186,10282,18474,12330,20522,24618,1610,2634,4682,8778,16970,3146,5194,9290,17482,6218,10314,18506,12362,20554,24650,1674,2698,4746,8842,17034,3210,5258,9354,17546,6282,10378,18570,12426,20618,24714,1802,2826,4874,8970,17162,3338,5386,9482,17674,6410,10506,18698,12554,20746,24842,1586,2610,4658,8754,16946,3122,5170,9266,17458,6194,10290,18482,12338,20530,24626,1618,2642,4690,8786,16978,3154,5202,9298,17490,6226,10322,18514,12370,20562,24658,1682,2706,4754,8850,17042,3218,5266,9362,17554,6290,10386,18578,12434,20626,24722,1810,2834,4882,8978,17170,3346,5394,9490,17682,6418,10514,18706,12562,20754,24850,1634,2658,4706,8802,16994,3170,5218,9314,17506,6242,10338,18530,12386,20578,24674,1698,2722,4770,8866,17058,3234,5282,9378,17570,6306,10402,18594,12450,20642,24738,1826,2850,4898,8994,17186,3362,5410,9506,17698,6434,10530,18722,12578,20770,24866,1730,2754,4802,8898,17090,3266,5314,9410,17602,6338,10434,18626,12482,20674,24770,1858,2882,4930,9026,17218,3394,5442,9538,17730,6466,10562,18754,12610,20802,24898,1922,2946,4994,9090,17282,3458,5506,9602,17794,6530,10626,18818,12674,20866,24962,1564,2588,4636,8732,16924,3100,5148,9244,17436,6172,10268,18460,12316,20508,24604,1580,2604,4652,8748,16940,3116,5164,9260,17452,6188,10284,18476,12332,20524,24620,1612,2636,4684,8780,16972,3148,5196,9292,17484,6220,10316,18508,12364,20556,24652,1676,2700,4748,8844,17036,3212,5260,9356,17548,6284,10380,18572,12428,20620,24716,1804,2828,4876,8972,17164,3340,5388,9484,17676,6412,10508,18700,12556,20748,24844,1588,2612,4660,8756,16948,3124,5172,9268,17460,6196,10292,18484,12340,20532,24628,1620,2644,4692,8788,16980,3156,5204,9300,17492,6228,10324,18516,12372,20564,24660,1684,2708,4756,8852,17044,3220,5268,9364,17556,6292,10388,18580,12436,20628,24724,1812,2836,4884,8980,17172,3348,5396,9492,17684,6420,10516,18708,12564,20756,24852,1636,2660,4708,8804,16996,3172,5220,9316,17508,6244,10340,18532,12388,20580,24676,1700,2724,4772,8868,17060,3236,5284,9380,17572,6308,10404,18596,12452,20644,24740,1828,2852,4900,8996,17188,3364,5412,9508,17700,6436,10532,18724,12580,20772,24868,1732,2756,4804,8900,17092,3268,5316,9412,17604,6340,10436,18628,12484,20676,24772,1860,2884,4932,9028,17220,3396,5444,9540,17732,6468,10564,18756,12612,20804,24900,1924,2948,4996,9092,17284,3460,5508,9604,17796,6532,10628,18820,12676,20868,24964,1592,2616,4664,8760,16952,3128,5176,9272,17464,6200,10296,18488,12344,20536,24632,1624,2648,4696,8792,16984,3160,5208,9304,17496,6232,10328,18520,12376,20568,24664,1688,2712,4760,8856,17048,3224,5272,9368,17560,6296,10392,18584,12440,20632,24728,1816,2840,4888,8984,17176,3352,5400,9496,17688,6424,10520,18712,12568,20760,24856,1640,2664,4712,8808,17000,3176,5224,9320,17512,6248,10344,18536,12392,20584,24680,1704,2728,4776,8872,17064,3240,5288,9384,17576,6312,10408,18600,12456,20648,24744,1832,2856,4904,9000,17192,3368,5416,9512,17704,6440,10536,18728,12584,20776,24872,1736,2760,4808,8904,17096,3272,5320,9416,17608,6344,10440,18632,12488,20680,24776,1864,2888,4936,9032,17224,3400,5448,9544,17736,6472,10568,18760,12616,20808,24904,1928,2952,5000,9096,17288,3464,5512,9608,17800,6536,10632,18824,12680,20872,24968,1648,2672,4720,8816,17008,3184,5232,9328,17520,6256,10352,18544,12400,20592,24688,1712,2736,4784,8880,17072,3248,5296,9392,17584,6320,10416,18608,12464,20656,24752,1840,2864,4912,9008,17200,3376,5424,9520,17712,6448,10544,18736,12592,20784,24880,1744,2768,4816,8912,17104,3280,5328,9424,17616,6352,10448,18640,12496,20688,24784,1872,2896,4944,9040,17232,3408,5456,9552,17744,6480,10576,18768,12624,20816,24912,1936,2960,5008,9104,17296,3472,5520,9616,17808,6544,10640,18832,12688,20880,24976,1760,2784,4832,8928,17120,3296,5344,9440,17632,6368,10464,18656,12512,20704,24800,1888,2912,4960,9056,17248,3424,5472,9568,17760,6496,10592,18784,12640,20832,24928,1952,2976,5024,9120,17312,3488,5536,9632,17824,6560,10656,18848,12704,20896,24992,1984,3008,5056,9152,17344,3520,5568,9664,17856,6592,10688,18880,12736,20928,25024
378	N?????A@sHFk]q}K^w?	35	11	7	9475,1377,1633,1697,1825,3361,1857
396	N?????B?oE^w^M^M^f?	39	11	1	1984
